26,0,19,0,0,0,0,16,2,14,0,0,0
30,0,23,0,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,29,3,18,0,0,0
30,0,23,0,0,0,0,17,2,15,0,0,0
21,0,14,0,0,0,0,26,2,14,0,1,0
28,0,21,0,0,0,0,26,3,10,0,1,0
36,0,29,0,0,0,0,32,3,16,0,1,0
24,0,17,0,0,0,0,29,4,13,0,1,0
36,0,29,0,0,0,0,8,2,6,0,0,0
37,0,30,0,0,0,0,1,0,0,0,0,0
28,0,21,1,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,14,2,12,0,0,0
34,0,27,0,0,0,0,1,0,0,0,0,0
29,0,22,0,0,0,0,6,2,4,0,0,0
28,0,21,0,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,10,2,8,0,0,0
22,0,15,0,0,0,0,17,3,9,0,1,0
35,0,28,0,0,0,0,32,2,20,0,1,0
22,0,15,0,0,0,0,21,3,9,0,1,0
24,0,17,0,0,0,0,21,3,9,0,1,0
28,0,21,0,0,0,0,20,3,9,0,1,0
25,0,18,0,0,0,0,21,3,9,0,1,0
32,0,25,0,0,0,0,28,2,16,0,1,0
37,0,30,0,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
32,0,25,0,0,0,0,1,0,0,0,0,0
19,0,12,1,0,0,0,1,0,0,0,0,0
28,0,21,0,0,0,0,1,0,0,0,0,0
37,0,30,0,0,0,0,11,1,10,0,1,0
24,0,17,0,0,0,0,31,4,12,0,0,0
22,0,15,1,0,0,0,1,0,0,0,0,0
33,0,26,0,0,0,0,11,1,10,0,1,0
41,0,34,0,0,0,0,11,1,10,0,1,0
29,0,22,0,0,0,0,11,1,10,0,1,0
31,0,24,0,1,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,22,2,10,0,1,0
41,0,34,0,0,0,0,1,0,0,0,0,0
34,0,27,1,0,0,0,11,1,10,0,1,0
20,1,13,0,0,1,0,39,7,9,0,1,0
27,0,20,0,0,0,0,11,1,10,0,1,0
33,0,26,0,0,0,0,11,1,10,0,1,0
33,0,26,0,0,0,0,11,1,10,0,1,0
43,0,36,0,0,0,0,11,1,10,0,1,0
25,0,18,0,0,0,0,1,0,0,0,0,0
24,0,17,0,0,1,0,1,0,0,0,0,0
24,0,17,0,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
21,0,14,0,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
29,0,22,0,0,0,0,11,1,10,0,1,0
36,0,29,1,0,0,0,11,1,10,0,1,0
45,0,38,0,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,1,0,0,0,0,0
28,0,21,0,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,1,0,0,0,0,0
36,0,29,0,0,0,0,34,3,16,0,1,0
33,0,26,0,0,0,0,1,0,0,0,0,0
28,0,21,0,0,0,0,16,3,7,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
23,0,16,0,0,0,0,1,0,0,0,0,0
31,0,24,0,0,0,0,41,4,21,0,1,0
18,0,11,1,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
23,0,16,0,0,0,0,19,3,10,0,0,0
23,0,16,0,0,0,0,30,3,10,0,1,0
24,0,17,0,0,0,0,15,3,5,0,0,0
28,0,21,0,0,0,0,16,3,6,0,0,0
28,0,21,0,0,0,0,14,3,5,0,0,0
40,0,33,0,0,0,0,1,0,0,0,0,0
36,0,29,0,0,0,0,14,3,5,0,0,0
28,0,21,0,0,0,0,39,5,18,0,0,0
24,0,17,0,0,0,0,12,4,5,0,1,0
28,0,21,0,0,0,0,14,3,5,0,0,0
28,0,21,0,0,0,0,16,3,6,0,0,0
35,0,28,0,0,0,0,11,1,10,0,1,0
34,0,27,0,0,0,0,11,1,10,0,1,0
23,0,16,0,0,0,0,11,1,10,0,1,0
29,0,22,0,0,0,0,11,1,10,0,1,0
41,0,34,0,0,0,0,11,1,10,0,1,0
39,0,32,0,0,0,0,11,1,10,0,1,0
28,0,21,0,0,0,0,18,3,8,0,0,0
28,0,21,0,0,0,0,1,0,0,0,0,0
35,0,28,1,0,0,0,1,0,0,0,0,0
33,0,26,1,0,0,0,1,0,0,0,0,0
24,0,17,1,0,0,0,27,4,10,0,1,0
24,0,17,1,0,0,0,26,4,10,0,1,0
24,0,17,0,0,0,0,14,3,5,0,0,0
36,0,29,1,0,0,0,11,1,10,0,1,0
24,0,17,0,0,0,0,13,3,5,0,0,0
28,0,21,0,0,0,0,17,3,6,0,0,0
29,0,22,0,0,0,0,11,2,9,0,0,0
35,0,28,1,0,0,0,1,0,0,0,0,0
29,0,22,1,0,0,0,11,1,10,0,1,0
37,0,30,0,0,0,0,11,1,10,0,1,0
31,0,24,1,0,0,0,11,1,10,0,1,0
33,0,26,0,0,0,0,13,2,11,0,1,0
29,0,22,0,0,0,0,14,2,12,0,0,0
29,0,22,0,0,0,0,10,2,8,0,0,0
21,0,14,0,0,0,0,14,3,5,0,0,0
24,0,17,0,0,0,0,14,3,5,0,0,0
28,0,21,0,0,0,0,13,3,5,0,0,0
38,0,31,0,0,0,0,1,0,0,0,0,0
28,0,21,0,0,0,0,14,3,5,0,0,0
21,0,14,0,0,0,0,17,3,7,0,0,0
23,0,16,1,0,0,0,11,1,10,0,1,0
24,0,17,0,0,0,0,22,2,16,0,0,0
24,0,17,0,0,0,0,14,3,5,0,0,0
28,0,21,0,0,0,0,18,3,9,0,0,0
28,0,21,0,0,0,0,17,3,7,0,1,0
28,0,21,0,0,0,0,15,3,5,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
18,0,11,1,0,1,0,1,0,0,0,0,0
23,0,16,0,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
22,0,15,0,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,13,3,5,0,0,0
28,0,21,0,0,0,0,20,3,9,0,1,0
24,0,17,0,0,0,0,1,0,0,0,0,0
28,0,21,0,0,0,0,1,0,0,0,0,0
18,0,11,1,0,0,0,1,0,0,0,0,0
23,0,16,0,0,0,0,1,0,0,0,0,0
24,0,17,0,0,1,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
23,0,16,0,0,1,0,1,0,0,0,0,0
29,0,22,0,0,0,0,1,0,0,0,0,0
23,0,16,0,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,1,0,0,0,0,0
28,0,21,0,0,0,0,11,1,10,0,0,0
23,0,16,0,0,0,0,22,3,9,0,1,0
20,0,13,1,0,0,0,19,4,6,0,0,0
20,0,13,0,0,0,0,16,2,10,0,1,0
30,0,23,1,0,0,0,1,0,0,0,0,0
22,0,15,0,0,0,0,12,3,7,0,0,0
24,0,17,0,0,0,0,37,4,11,0,1,0
26,0,19,0,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,20,3,14,0,0,0
27,0,20,0,0,0,0,1,0,0,0,0,0
23,0,16,0,0,0,0,11,1,10,0,1,0
36,0,29,1,0,0,0,11,1,10,0,1,0
37,0,30,1,0,0,0,1,0,0,0,0,0
33,0,26,1,0,0,0,11,1,10,0,1,0
29,0,22,0,0,0,0,8,2,6,0,0,0
28,0,21,0,0,0,0,18,3,9,0,1,0
24,0,17,0,0,0,0,15,3,5,0,0,0
21,0,14,0,0,0,0,21,2,10,0,1,0
23,0,16,0,0,0,0,30,4,10,0,1,0
41,0,34,1,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,12,2,10,0,0,0
24,0,17,0,0,0,0,1,0,0,0,0,0
27,0,20,0,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
26,0,19,0,0,1,0,1,0,0,0,0,0
24,0,17,0,0,0,0,1,0,0,0,0,0
27,0,20,0,0,0,0,1,0,0,0,0,0
27,0,20,0,0,0,0,23,2,21,0,0,0
28,0,21,0,0,1,0,24,3,10,0,1,0
24,0,17,0,0,0,0,15,3,5,0,0,0
22,0,15,0,0,0,0,19,3,7,0,0,0
25,0,18,0,0,0,0,20,3,9,0,1,0
22,0,15,0,0,0,0,33,2,21,0,1,0
24,0,17,0,0,0,0,17,3,7,0,0,0
36,0,29,0,0,0,0,21,3,11,0,1,0
21,0,14,0,0,0,0,10,2,8,0,0,0
24,0,17,0,0,0,0,19,3,9,0,1,0
31,0,24,0,0,0,0,1,0,0,0,0,0
31,0,24,0,0,0,0,1,0,0,0,0,0
27,0,20,0,0,0,0,15,2,13,0,0,0
24,0,17,0,0,0,0,35,4,12,0,0,0
28,0,21,0,0,1,0,15,2,13,0,0,0
25,0,18,0,0,0,0,20,4,6,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,20,3,7,0,1,0
36,0,29,0,0,0,0,20,3,9,0,1,0
36,0,29,0,0,0,0,8,2,6,0,0,0
26,0,19,0,0,0,0,16,2,14,0,0,0
24,0,17,0,0,0,0,17,3,7,0,0,0
22,0,15,0,0,0,0,11,3,7,0,0,0
36,0,29,0,0,0,0,15,3,5,0,0,0
30,0,23,0,0,0,0,1,0,0,0,0,0
22,0,15,0,0,0,0,19,3,9,0,1,0
28,0,21,0,0,0,0,18,3,9,0,1,0
25,0,18,0,0,0,0,28,4,14,0,0,0
43,0,36,0,0,0,0,20,2,18,0,0,0
31,0,24,0,0,1,0,1,0,0,0,0,0
21,0,14,1,0,0,0,14,2,12,0,0,0
28,0,21,0,0,0,0,1,0,0,0,0,0
29,0,22,0,0,0,0,1,0,0,0,0,0
22,0,15,0,0,0,0,16,3,7,0,0,0
21,0,14,1,0,0,0,18,3,14,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
37,0,30,0,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
27,0,20,0,0,0,0,1,0,0,0,0,0
30,0,23,0,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
27,0,20,0,0,0,0,1,0,0,0,0,0
27,0,20,0,0,0,0,1,0,0,0,0,0
24,0,17,1,0,0,0,23,5,10,0,1,0
29,0,22,0,0,0,0,11,1,10,0,1,0
32,0,25,0,0,0,0,11,1,10,0,1,0
31,0,24,0,0,0,0,1,0,0,0,0,0
43,0,36,1,0,0,0,11,1,10,0,1,0
41,0,34,1,0,0,0,1,0,0,0,0,0
39,0,32,1,0,0,0,1,0,0,0,0,0
23,0,16,0,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,18,3,9,0,1,0
45,0,38,0,0,0,0,1,0,0,0,0,0
42,0,35,1,0,0,0,11,1,10,0,1,0
27,0,20,0,0,0,0,19,2,12,0,1,0
24,0,17,0,0,0,0,19,2,10,0,1,0
38,0,31,0,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
36,0,29,1,0,0,0,11,1,10,0,1,0
42,0,35,1,0,0,0,11,1,10,0,1,0
30,0,23,0,0,0,0,1,0,0,0,0,0
39,0,32,0,0,0,0,1,0,0,0,0,0
41,0,34,0,0,0,0,11,1,10,0,1,0
22,0,15,0,0,0,0,20,2,10,0,1,0
25,0,18,0,0,0,0,1,0,0,0,0,0
23,0,16,0,0,0,0,20,2,10,0,1,0
24,0,17,0,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
21,0,14,1,0,0,0,1,0,0,0,0,0
45,0,38,0,0,0,0,11,1,10,0,1,0
40,0,33,0,0,0,0,11,1,10,0,1,0
39,0,32,1,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,6,2,4,0,0,0
28,0,21,0,0,0,0,1,0,0,0,0,0
32,0,25,1,0,0,0,11,1,10,0,1,0
32,0,25,0,0,0,0,11,1,10,0,1,0
30,0,23,0,0,0,0,11,1,10,0,1,0
28,0,21,1,0,0,0,11,1,10,0,1,0
44,0,37,0,0,0,0,11,1,10,0,1,0
35,0,28,0,0,0,0,11,1,10,0,1,0
40,0,33,1,0,0,0,11,1,10,0,1,0
39,0,32,0,0,0,0,11,1,10,0,1,0
44,0,37,1,0,0,0,1,0,0,0,0,0
28,0,21,0,0,0,0,24,2,17,0,0,0
33,0,26,0,0,0,0,11,1,10,0,1,0
23,0,16,0,0,0,0,1,0,0,0,0,0
31,0,24,0,0,0,0,11,1,10,0,1,0
29,0,22,0,0,0,0,11,1,10,0,1,0
38,0,31,0,0,0,0,11,1,10,0,1,0
39,0,32,0,0,0,0,1,0,0,0,0,0
44,0,37,0,0,0,0,1,0,0,0,0,0
39,0,32,1,0,0,0,1,0,0,0,0,0
29,0,22,0,0,0,0,1,0,0,0,0,0
27,0,20,0,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
36,0,29,0,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,6,2,4,0,0,0
16,0,9,1,0,0,0,1,0,0,0,0,0
23,0,16,0,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,1,0,0,0,0,0
22,0,15,0,0,1,0,1,0,0,0,0,0
27,0,20,0,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,15,2,13,0,0,0
28,0,21,0,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
23,0,16,0,0,1,0,1,0,0,0,0,0
22,0,15,0,0,0,0,1,0,0,0,0,0
30,0,23,0,0,0,0,1,0,0,0,0,0
28,0,21,0,0,0,0,1,0,0,0,0,0
34,0,27,0,0,0,0,1,0,0,0,0,0
27,0,20,1,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
32,0,25,0,0,0,0,33,4,20,0,0,0
36,0,29,1,0,0,0,1,0,0,0,0,0
36,0,29,1,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
23,0,16,1,0,0,0,1,0,0,0,0,0
30,0,23,1,0,0,0,1,0,0,0,0,0
29,0,22,0,0,0,0,23,3,15,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
28,0,21,0,0,0,0,1,0,0,0,0,0
28,0,21,0,0,0,0,1,0,0,0,0,0
34,0,27,0,0,0,0,1,0,0,0,0,0
19,0,12,1,0,0,0,1,0,0,0,0,0
29,0,22,0,0,0,0,1,0,0,0,0,0
27,0,20,0,0,0,0,1,0,0,0,0,0
28,0,21,0,0,0,0,1,0,0,0,0,0
28,0,21,0,0,0,0,1,0,0,0,0,0
34,0,27,1,0,0,0,1,0,0,0,0,0
22,0,15,1,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,27,4,10,0,1,0
33,0,26,1,0,0,0,1,0,0,0,0,0
33,0,26,1,0,0,0,1,0,0,0,0,0
34,0,27,1,0,0,0,1,0,0,0,0,0
29,0,22,0,0,0,0,1,0,0,0,0,0
32,0,25,0,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
30,0,23,1,0,0,0,1,0,0,0,0,0
30,0,23,1,0,0,0,1,0,0,0,0,0
28,0,21,0,0,0,0,1,0,0,0,0,0
34,0,27,0,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,1,0,0,0,0,0
22,0,15,0,0,0,0,1,0,0,0,0,0
23,0,16,0,0,0,0,1,0,0,0,0,0
24,0,17,0,0,1,0,1,0,0,0,0,0
22,0,15,0,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
40,0,33,0,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,1,0,0,0,0,0
29,0,22,0,0,0,0,1,0,0,0,0,0
27,0,20,1,0,0,0,1,0,0,0,0,0
33,0,26,1,0,0,0,1,0,0,0,0,0
25,0,18,1,0,0,0,1,0,0,0,0,0
31,0,24,0,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,18,2,10,0,1,0
28,0,21,0,0,0,0,1,0,0,0,0,0
22,0,15,0,0,0,0,1,0,0,0,0,0
31,0,24,0,0,0,0,1,0,0,0,0,0
23,0,16,0,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
34,0,27,1,0,0,0,1,0,0,0,0,0
29,0,22,0,0,0,0,12,2,10,0,0,0
23,0,16,0,0,0,0,1,0,0,0,0,0
28,0,21,0,0,1,0,10,2,8,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
32,0,25,1,0,0,0,1,0,0,0,0,0
33,0,26,1,0,0,0,1,0,0,0,0,0
35,0,28,0,0,0,0,1,0,0,0,0,0
23,0,16,0,0,0,0,1,0,0,0,0,0
36,0,29,0,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,23,3,12,0,0,0
32,0,25,0,0,0,0,1,0,0,0,0,0
27,0,20,0,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
33,0,26,1,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
29,0,22,0,0,0,0,20,1,19,0,0,0
24,0,17,1,0,0,0,26,5,10,0,1,0
23,0,16,0,0,0,0,1,0,0,0,0,0
22,0,15,0,0,0,0,15,2,9,0,1,0
20,0,13,0,0,0,0,1,0,0,0,0,0
28,0,21,0,0,0,0,1,0,0,0,0,0
30,0,23,0,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,1,0,0,0,0,0
27,0,20,0,0,0,0,1,0,0,0,0,0
32,0,25,0,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
24,0,17,0,1,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,11,1,10,0,1,0
29,0,22,0,0,0,0,1,0,0,0,0,0
27,0,20,0,0,0,0,1,0,0,0,0,0
30,0,23,0,0,0,0,1,0,0,0,0,0
27,0,20,0,0,0,0,1,0,0,0,0,0
30,0,23,0,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
27,0,20,0,0,0,0,1,0,0,0,0,0
24,0,17,1,0,0,0,27,4,10,0,1,0
24,0,17,1,0,0,0,27,4,10,0,1,0
24,0,17,1,0,0,0,27,4,10,0,1,0
26,0,19,0,0,0,0,1,0,0,0,0,0
28,0,21,0,0,0,0,1,0,0,0,0,0
31,0,24,0,0,0,0,1,0,0,0,0,0
28,0,21,0,0,0,0,16,3,7,0,0,0
31,0,24,1,0,0,0,24,2,12,0,1,0
35,0,28,0,0,0,0,1,0,0,0,0,0
28,0,21,0,0,0,0,13,3,5,0,0,0
30,0,23,0,0,0,0,1,0,0,0,0,0
32,0,25,0,0,0,0,1,0,0,0,0,0
22,0,15,0,0,0,0,4,1,3,0,0,0
18,0,11,0,0,0,0,1,0,0,0,0,0
26,0,19,0,1,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,1,0,0,0,0,0
21,0,14,0,0,0,0,1,0,0,0,0,0
29,0,22,0,0,0,0,1,0,0,0,0,0
28,0,21,0,0,0,0,1,0,0,0,0,0
31,0,24,0,0,0,0,1,0,0,0,0,0
29,0,22,0,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
33,0,26,0,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,1,0,0,0,0,0
28,0,21,0,0,0,0,1,0,0,0,0,0
36,0,29,0,0,0,0,1,0,0,0,0,0
23,0,16,1,0,0,0,1,0,0,0,0,0
20,0,13,0,0,0,0,1,0,0,0,0,0
22,0,15,0,0,0,0,1,0,0,0,0,0
18,0,11,1,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
29,0,22,0,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,1,0,0,0,0,0
32,0,25,1,0,0,0,1,0,0,0,0,0
22,0,15,1,0,0,0,1,0,0,0,0,0
23,0,15,0,0,0,0,5,1,4,0,0,0
20,0,13,0,0,1,0,1,0,0,0,0,0
28,0,21,0,0,0,0,1,0,0,0,0,0
16,0,9,1,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
19,0,12,0,0,0,0,1,0,0,0,0,0
30,0,23,0,0,0,0,1,0,0,0,0,0
22,0,15,0,0,0,0,1,0,0,0,0,0
21,0,14,0,0,1,0,1,0,0,0,0,0
24,0,17,0,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,1,0,0,0,0,0
25,0,18,0,1,0,0,1,0,0,0,0,0
28,0,21,1,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
23,0,16,0,0,0,0,1,0,0,0,0,0
30,0,23,0,0,0,0,1,0,0,0,0,0
24,0,17,1,0,0,0,1,0,0,0,0,0
29,0,22,0,0,0,0,1,0,0,0,0,0
30,0,23,0,0,0,0,1,0,0,0,0,0
28,0,21,0,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
20,0,13,0,0,0,0,15,1,14,0,0,0
24,0,17,0,0,0,0,1,0,0,0,0,0
29,0,22,0,1,0,0,7,2,5,0,0,0
24,0,17,0,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,1,0,0,0,0,0
21,1,14,0,0,0,0,32,6,10,0,1,0
31,0,24,0,0,0,0,1,0,0,0,0,0
35,0,28,1,0,0,0,1,0,0,0,0,0
28,0,21,0,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,7,2,5,0,0,0
19,0,12,0,0,0,0,1,0,0,0,0,0
13,0,6,1,0,0,0,22,2,12,0,0,0
22,0,15,0,0,0,0,16,3,8,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
27,0,20,1,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
27,0,20,0,0,0,0,1,0,0,0,0,0
22,0,15,0,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,1,0,0,0,0,0
27,0,20,0,0,0,0,1,0,0,0,0,0
30,0,23,0,0,0,0,1,0,0,0,0,0
31,0,24,1,0,0,0,1,0,0,0,0,0
21,0,14,0,0,0,0,27,4,9,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
22,0,15,0,0,0,0,1,0,0,0,0,0
22,0,15,1,0,0,0,16,1,15,0,0,0
24,0,17,1,0,0,0,16,1,15,0,0,0
27,0,20,0,0,0,0,16,2,10,0,1,0
30,0,23,0,1,0,0,1,0,0,0,0,0
25,0,18,1,0,0,0,1,0,0,0,0,0
22,0,15,1,0,0,0,1,0,0,0,0,0
27,0,20,0,0,0,0,1,0,0,0,0,0
27,0,20,0,0,0,0,1,0,0,0,0,0
27,0,20,0,0,0,0,1,0,0,0,0,0
20,0,13,1,0,0,0,1,0,0,0,0,0
22,0,15,0,0,0,0,1,0,0,0,0,0
24,0,17,1,0,0,0,20,3,9,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
24,0,17,1,0,0,0,1,0,0,0,0,0
37,0,30,1,0,0,0,1,0,0,0,0,0
20,0,13,0,0,0,0,1,0,0,0,0,0
29,0,22,0,0,0,0,1,0,0,0,0,0
22,0,15,1,0,0,0,1,0,0,0,0,0
29,0,22,0,0,0,0,1,0,0,0,0,0
22,0,15,0,0,0,0,1,0,0,0,0,0
21,0,14,0,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
27,0,20,0,0,0,0,5,2,3,0,0,0
28,0,21,1,0,0,0,17,1,16,0,0,0
23,0,16,0,0,0,0,1,0,0,0,0,0
28,0,21,0,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
27,0,20,1,0,0,0,1,0,0,0,0,0
27,0,20,0,0,0,0,1,0,0,0,0,0
23,0,16,0,0,0,0,1,0,0,0,0,0
37,0,30,0,0,0,0,1,0,0,0,0,0
30,0,23,0,0,0,0,1,0,0,0,0,0
29,0,22,0,1,0,0,1,0,0,0,0,0
28,0,21,0,0,0,0,1,0,0,0,0,0
27,0,20,0,0,0,0,1,0,0,0,0,0
29,0,22,0,0,0,0,1,0,0,0,0,0
34,0,27,0,0,0,0,1,0,0,0,0,0
24,0,17,1,0,0,0,1,0,0,0,0,0
35,0,28,0,0,0,0,11,2,9,0,1,0
21,0,14,0,0,0,0,1,0,0,0,0,0
20,0,13,0,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
27,0,20,0,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,1,0,0,0,0,0
33,0,26,0,0,0,0,1,0,0,0,0,0
30,0,23,0,0,0,0,1,0,0,0,0,0
29,0,22,0,0,0,0,1,0,0,0,0,0
20,0,13,0,0,0,0,1,0,0,0,0,0
31,0,24,0,0,0,0,18,1,17,0,0,0
31,0,24,0,1,0,0,1,0,0,0,0,0
32,0,25,0,0,0,0,1,0,0,0,0,0
34,0,27,0,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,1,0,0,0,0,0
21,0,14,0,0,0,0,1,0,0,0,0,0
34,0,27,0,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,13,3,7,0,0,0
21,0,14,0,0,0,0,1,0,0,0,0,0
27,0,20,0,0,0,0,1,0,0,0,0,0
31,0,24,0,1,0,0,1,0,0,0,0,0
29,0,22,0,0,0,0,1,0,0,0,0,0
28,0,21,0,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
33,0,26,0,0,0,0,1,0,0,0,0,0
27,0,20,0,0,0,0,1,0,0,0,0,0
24,0,17,0,1,0,0,1,0,0,0,0,0
17,0,10,1,0,0,0,1,0,0,0,0,0
22,0,15,0,0,0,0,1,0,0,0,0,0
50,0,43,0,0,0,0,1,0,0,0,0,0
29,0,22,0,0,0,0,1,0,0,0,0,0
23,0,16,0,0,0,0,1,0,0,0,0,0
21,0,14,0,0,0,0,1,0,0,0,0,0
34,0,27,0,0,0,0,1,0,0,0,0,0
29,0,22,0,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
33,0,26,0,0,0,0,1,0,0,0,0,0
28,0,21,0,0,0,0,1,0,0,0,0,0
21,0,14,0,0,0,0,1,0,0,0,0,0
